@StocktonNorth.txt:XX,StocktonNorth,Alex Cunningham,166,26,2
@StuartAndrewMP.txt:XX,StuartAndrewMP,Stuart Andrew MP,623,21,3
@Thomas_Docherty.txt:XX,Thomas_Docherty,Thomas Docherty MP,602,17,8
@TobiasEllwoodMP.txt:XX,TobiasEllwoodMP,Tobias Ellwood,474,54,14
@TogetherDarling.txt:XX,TogetherDarling,Alistair Darling,130,7,6
@TomBlenkinsop.txt:XX,TomBlenkinsop,Tom Blenkinsop,364,35,9
@TonyBaldry.txt:XX,TonyBaldry,Sir Tony Baldry MP,761,15,13
@TristramHuntMP.txt:XX,TristramHuntMP,Tristram Hunt,600,35,17
@Valerie_VazMP.txt:XX,Valerie_VazMP,Valerie Vaz MP,83,7,0
@Vernon_CoakerMP.txt:XX,Vernon_CoakerMP,Vernon Coaker,373,38,21
@VirendraSharma.txt:XX,VirendraSharma,Virendra Sharma MP,458,61,8
@WayneDavidMP.txt:XX,WayneDavidMP,Wayne David MP,678,59,14
@WilliamJHague.txt:XX,WilliamJHague,William Hague,661,57,14
@William_Bain.txt:XX,William_Bain,William Bain,530,96,34
@Y_FovargueMP.txt:XX,Y_FovargueMP,Yvonne Fovargue,541,43,5
@YasminQureshiMP.txt:XX,YasminQureshiMP,Yasmin Qureshi,601,50,27
@YvetteCooperMP.txt:XX,YvetteCooperMP,Yvette Cooper,639,66,27
@ZacGoldsmith.txt:XX,ZacGoldsmith,Zac Goldsmith,519,22,6
@acarmichaelmp.txt:XX,acarmichaelmp,Alistair Carmichael,598,34,3
@adriansandersmp.txt:XX,adriansandersmp,Adrian Sanders,630,99,20
@agriffithsmp.txt:XX,agriffithsmp,Andrew Griffiths MP,464,41,11
@alanwhiteheadmp.txt:XX,alanwhiteheadmp,Alan Whitehead MP,589,84,27
@alisonseabeck.txt:XX,alisonseabeck,AlisonSeabeckMP,501,28,3
@andrealeadsom.txt:XX,andrealeadsom,Andrea Leadsom,488,47,18
@andrewpercy.txt:XX,andrewpercy,Andrew Percy,714,36,5
@andyburnhammp.txt:XX,andyburnhammp,Andy Burnham,309,45,15
@angelaeagle.txt:XX,angelaeagle,Angela Eagle,411,33,8
@angelasmithmp.txt:XX,angelasmithmp,angela smith mp,190,10,4
@anncoffey_mp.txt:XX,anncoffey_mp,Ann Coffey MP,584,32,11
@annebegg.txt:XX,annebegg,Dame Anne Begg MP,444,35,5
@ben4ipswich.txt:XX,ben4ipswich,Ben Gummer,662,50,6
@bernardjenkin.txt:XX,bernardjenkin,Bernard Jenkin MP,591,33,11
@bphillipsonMP.txt:XX,bphillipsonMP,Bridget Phillipson,757,35,15
@carolinenokes.txt:XX,carolinenokes,Caroline Nokes,606,42,11
@cathyjamieson.txt:XX,cathyjamieson,cathy jamieson mp,197,6,3
@charles_kennedy.txt:XX,charles_kennedy,Charles Kennedy,416,30,7
@chhcalling.txt:XX,chhcalling,Chris Heaton-Harris,582,32,5
@chrisskidmoremp.txt:XX,chrisskidmoremp,Chris Skidmore MP,598,140,35
@cj_dinenage.txt:XX,cj_dinenage,caroline dinenage mp,386,34,8
@claire4devizes.txt:XX,claire4devizes,Claire Perry ,572,53,5
@conormurphymp.txt:XX,conormurphymp,Conor Murphy ,369,22,9
@damian57.txt:XX,damian57,Damian Hinds,414,39,14
@damiangreenmp.txt:XX,damiangreenmp,Damian,424,29,0
@danielbyles.txt:XX,danielbyles,Dan Byles MP,524,25,6
@dannyalexander.txt:XX,dannyalexander,Danny Alexander,343,24,3
@davidburrowesmp.txt:XX,davidburrowesmp,David Burrowes,600,50,15
@davidtcdavies.txt:XX,davidtcdavies,David Davies MP,788,120,55
@drwollastonmp.txt:XX,drwollastonmp,Sarah Wollaston MP,839,32,15
@duncanhames.txt:XX,duncanhames,Duncan Hames,636,24,3
@edballsmp.txt:XX,edballsmp,Ed Balls,773,64,36
